iter	MultiClass
0	1.022155504
1	0.9548965301
2	0.9000334254
3	0.85047996
4	0.8074277348
5	0.7714699987
6	0.7380067487
7	0.7086907962
8	0.6818374525
9	0.659382462
10	0.6380264562
11	0.6183985375
12	0.6019953337
13	0.5871636364
14	0.5733092298
15	0.5597019846
16	0.5480492504
17	0.5374715216
18	0.5286194313
19	0.5196089669
20	0.5114239919
21	0.5032260941
22	0.4957302639
23	0.4887181283
24	0.4829705609
25	0.4777197913
26	0.4722505641
27	0.4671494157
28	0.4624335148
29	0.4581206529
30	0.454348977
31	0.4511641084
32	0.4490434759
33	0.4461481619
34	0.4432237734
35	0.4405714053
36	0.4379207968
37	0.4355877521
38	0.4352216894
39	0.433160541
40	0.4316045145
41	0.4294825528
42	0.4275027951
43	0.4261244438
44	0.4248709236
45	0.4231825733
46	0.4222605003
47	0.4214362938
48	0.4200203005
49	0.4191088521
50	0.4177817568
51	0.4167014806
52	0.4155327597
53	0.4144488343
54	0.4134785909
55	0.4125515302
56	0.4116390425
57	0.4114617407
58	0.4108038901
59	0.4100301869
60	0.409406622
61	0.4086734728
62	0.4081403802
63	0.4075966673
64	0.4070615463
65	0.4065639887
66	0.406030091
67	0.4055029296
68	0.4054294865
69	0.4048949157
70	0.404620992
71	0.4042817334
72	0.4038349271
73	0.4033738616
74	0.4029357833
75	0.4026300618
76	0.4022425997
77	0.4019292677
78	0.4016752474
79	0.4014190451
80	0.4011419977
81	0.4009754159
82	0.4006315249
83	0.4003296505
84	0.4000408018
85	0.3999788336
86	0.3996997318
87	0.3994142754
88	0.3991638857
89	0.3989515977
90	0.3987105402
91	0.3984857624
92	0.3982655448
93	0.3981124074
94	0.3979204561
95	0.3977088447
96	0.3975054865
97	0.3974128459
98	0.3972206289
99	0.3970530536
100	0.3968966972
101	0.3967344694
102	0.3965831296
103	0.3964203594
104	0.3962909401
105	0.396136732
106	0.3959878013
107	0.3958438783
108	0.3957136395
109	0.3955878632
110	0.3954671781
111	0.3953506623
112	0.3952248595
113	0.3951150073
114	0.3949957996
115	0.3948802951
116	0.3947683159
117	0.3946596956
118	0.3945542779
119	0.3944519162
120	0.3943592687
121	0.3942818047
122	0.3941868732
123	0.3940945469
124	0.3940047142
125	0.3939172698
126	0.3938345458
127	0.3937513276
128	0.3936702354
129	0.3935911838
130	0.3935140921
131	0.3934388841
132	0.3933654876
133	0.3932938339
134	0.3932238584
135	0.3931554992
136	0.3930886981
137	0.3930233993
138	0.3929595499
139	0.3928970998
140	0.3928360009
141	0.3927762076
142	0.3927176764
143	0.3926603657
144	0.3926042358
145	0.392549249
146	0.3924953689
147	0.392442561
148	0.392390792
